iceberg_id,sequence_end_timestamp,target_timestamp,target_time_delta_hours,initial_latitude,initial_longitude,initial_velocity_ms,initial_heading_deg,distance_travelled_prev_m,physics_dx,physics_dy,actual_dx,actual_dy,physics_epe,persistence_epe,constant_velocity_epe,sea_ice_concentration,current_speed,wind_speed,current_available,wind_available,seaice_available,physics_error_x,physics_error_y,physics_error_speed,actual_displacement_magnitude,predicted_displacement_magnitude,prediction_minus_actual
a81,2026-07-12,2026-07-17,120.0,-61.2,-52.666666666666664,0.07958753308933124,322.7117817121983,61887.26573026397,-14973.26449106276,18695.402244093784,-39410.60914374143,-33267.912240036996,57422.72952281595,51574.704050450535,63405.77227506312,0.0,0.10232845684679961,10.323614400761834,0.0,1.0,0.0,24437.34465267867,51963.31448413078,0.1329229850065184,51574.704050450535,23952.38431947408,-27622.319730976455
a81,2026-07-17,2026-07-22,120.0,-61.1,-53.56666666666667,0.11938588900567254,229.83108532025344,51574.70405045054,-26206.530609930724,-21717.219896138486,-17120.610337720253,70419.00715041673,92583.14253452049,72470.35163697287,106055.746187818,0.0,0.10232845684679961,2.7890737265623367,0.0,1.0,0.0,-9085.920272210471,-92136.22704655521,0.21431282994101966,72470.35163697287,34035.56796391783,-38434.78367305505
a81,2026-07-22,2026-07-30,192.0,-60.61666666666667,-52.75000000000001,0.16775544360410388,346.3350977020039,72470.35163697287,-18809.09025671919,73526.67023529483,-24935.249280038755,31021.48825986497,42944.38635192506,39800.746104999256,81685.90502571764,0.0,0.10232845684679961,6.712607906030908,0.0,1.0,0.0,6126.159023319564,42505.18197542986,0.06213018858785454,39800.746104999256,75894.35494274393,36093.60883774467
a81,2026-07-30,2026-08-09,240.0,-60.28333333333333,-52.583333333333336,0.057582097952834574,321.2074804843832,39800.746104999256,-22917.47570003161,25479.29114230649,-48281.4361825143,148731.95695271296,125835.4088511206,156372.28686320945,111278.73398946197,0.0,0.10232845684679961,9.054726030669505,0.0,1.0,0.0,25363.96048248269,-123252.66581040647,0.14564283431842662,156372.28686320945,34269.59249211985,-122102.6943710896
a81,2026-08-09,2026-08-16,168.0,-59.166666666666664,-51.1,0.18098644312871465,342.01550917242207,156372.28686320945,-23098.357600967553,67602.47830260644,-13731.742673663422,4644.233654629439,63651.19043938551,14495.849857614481,101471.7935532851,0.0,0.10232845684679961,9.05496274219777,0.0,1.0,0.0,-9366.61492730413,62958.244647977,0.10524337043549191,14495.849857614481,71439.68922466383,56943.83936704935
b09b,2021-03-31,2021-04-12,288.0,-66.25,143.5,0.003117702956900597,182.32991447237268,4848.651638571808,-1445.4027524126834,-1341.5269595996976,0.0,0.0,1972.0252787464387,0.0,3232.434425714539,0.8498641918413341,0.12360862870851139,2.852902491494998,1.0,1.0,1.0,-1445.4027524126834,-1341.5269595996976,0.001902030554346488,0.0,1972.0252787464387,1972.0252787464387
b09b,2021-04-12,2021-04-21,216.0,-66.25,143.5,0.0,207.7506354602461,0.0,-123.13380543939937,113.2234770531136,0.0,0.0,167.27668635522645,0.0,0.0,0.9083071374334395,0.06258303869552383,9.127162688354224,1.0,1.0,1.0,-123.13380543939937,113.2234770531136,0.00021511919541567187,0.0,167.27668635522645,167.27668635522645
b09b,2021-04-21,2021-05-04,312.0,-66.25,143.5,0.0,207.7506354602461,0.0,-285.1543633838591,1.0966438824338556,0.0,0.0,285.1564721072605,0.0,0.0,0.9463408298324794,0.0863193799283429,7.890643815467255,1.0,1.0,1.0,-285.1543633838591,1.0966438824338556,0.00025387862545162086,0.0,285.1564721072605,285.1564721072605
b09b,2021-05-04,2021-05-05,24.0,-66.25,143.5,0.0,207.7506354602461,0.0,7.638090937259384,3.9270017217934337,1932.4995096600614,3781.7769234878942,4239.9577253406305,4246.927248477649,4246.927248477649,0.9541230497416109,0.04335347353262057,10.598147728881495,1.0,1.0,1.0,-1924.861418722802,-3777.8499217661006,0.049073584784035076,4246.927248477649,8.58846759840267,-4238.338780879247
b09b,2021-05-05,2021-05-28,552.0,-66.26666666666667,143.41666666666666,0.049154250561083905,27.067170594878547,4246.927248477648,30185.897721916535,58246.27412597928,0.0,0.0,65603.48215481194,0.0,97679.32671498595,0.9363841661252081,0.09057572783838805,0.4783744214420498,1.0,1.0,1.0,30185.897721916535,58246.27412597928,0.03301302443378217,0.0,65603.48215481194,65603.48215481194
b09b,2021-05-28,2021-06-06,216.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-458.9509337884921,280.39015269669807,0.0,0.0,537.8239464309919,0.0,0.0,0.9114352846518159,0.11084564625708689,4.339094554413892,1.0,1.0,1.0,-458.9509337884921,280.39015269669807,0.0006916460216447941,0.0,537.8239464309919,537.8239464309919
b09b,2021-06-06,2021-06-17,264.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-230.51436072226164,237.45487221845707,0.0,0.0,330.9406092329509,0.0,0.0,0.9172719495836645,0.09408812412189377,11.354309468127108,1.0,1.0,1.0,-230.51436072226164,237.45487221845707,0.000348211920489216,0.0,330.9406092329509,330.9406092329509
b09b,2021-06-17,2021-06-22,120.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,29.495530638554982,26.69329917380459,0.0,0.0,39.780881695007366,0.0,0.0,0.9363460179883987,0.04574519951195253,12.648484338432286,1.0,1.0,1.0,29.495530638554982,26.69329917380459,9.208537429399853e-05,0.0,39.780881695007366,39.780881695007366
b09b,2021-06-22,2021-06-28,144.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-223.88360198683185,225.66354980203576,0.0,0.0,317.88033117488413,0.0,0.0,0.9022034355439246,0.07890554568263305,3.7268820549462656,1.0,1.0,1.0,-223.88360198683185,225.66354980203576,0.0006131950832848845,0.0,317.88033117488413,317.88033117488413
b09b,2021-06-28,2021-07-06,192.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-319.97524772712944,44.53179749786593,0.0,0.0,323.05918984983043,0.0,0.0,0.9145634318701923,0.10424651101953028,10.855470862961932,1.0,1.0,1.0,-319.97524772712944,44.53179749786593,0.0004673888742040371,0.0,323.05918984983043,323.05918984983043
b09b,2021-07-06,2021-07-16,240.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-107.42336623725753,94.27193141762423,0.0,0.0,142.92297459454588,0.0,0.0,0.9036149166058749,0.03847269385575415,4.756068898139577,1.0,1.0,1.0,-107.42336623725753,94.27193141762423,0.0001654201094844281,0.0,142.92297459454588,142.92297459454588
b09b,2021-07-16,2021-08-15,720.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-624.9401476842695,155.83352732991744,0.0,0.0,644.0762970547206,0.0,0.0,0.9115115809254348,0.05814877335233079,8.299467816783718,1.0,1.0,1.0,-624.9401476842695,155.83352732991744,0.0002484862257155558,0.0,644.0762970547206,644.0762970547206
b09b,2021-08-15,2021-09-02,432.0,-66.26666666666667,143.41666666666666,0.0,207.7506354602461,0.0,-1468.5356952959069,-618.8408485431771,-1832.8294974965975,-1359.112408075016,825.0526990280904,2281.7647785600293,2281.7647785600293,0.8709601114969701,0.14101665042499925,17.63837962436595,1.0,1.0,1.0,364.2938022006906,740.2715595318389,0.000530512280753659,2281.7647785600293,1593.600038963313,-688.1647395967163
b09b,2021-09-02,2021-09-12,240.0,-66.26666666666667,143.46666666666667,0.0014671841425926112,233.44166666667115,2281.7647785600275,-825.3014418344262,-536.1290962136732,0.0,0.0,984.1528731355066,0.0,1267.647099200016,0.9445478674024343,0.07807014100981714,14.853813617740535,1.0,1.0,1.0,-825.3014418344262,-536.1290962136732,0.001139065825388318,0.0,984.1528731355066,984.1528731355066
b09b,2021-09-12,2021-10-06,576.0,-66.26666666666667,143.46666666666667,0.0,207.7506354602461,0.0,-485.74037585583324,-25.263492932953618,0.0,0.0,486.39691283121806,0.0,0.0,0.855967893730849,0.034446732496432333,5.637819193833232,1.0,1.0,1.0,-485.74037585583324,-25.263492932953618,0.0002345664124378945,0.0,486.39691283121806,486.39691283121806
b09b,2021-10-06,2021-10-19,312.0,-66.26666666666667,143.46666666666667,0.0,207.7506354602461,0.0,-1135.0377452665173,-287.34878877606155,0.0,0.0,1170.8458521901032,0.0,0.0,0.8210242004133761,0.08770660691528848,4.517121557587876,1.0,1.0,1.0,-1135.0377452665173,-287.34878877606155,0.0010424197401977414,0.0,1170.8458521901032,1170.8458521901032
b09b,2021-10-19,2021-11-10,528.0,-66.26666666666667,143.46666666666667,0.0,207.7506354602461,0.0,-1159.5682803221061,945.9701672825119,2443.509010660462,1812.5052458588034,3705.8128672664384,3042.352962995016,3042.352962995016,0.7674642163328826,0.05252376451461603,3.859561592294121,1.0,1.0,1.0,-3603.0772909825682,-866.5350785762915,0.0019496069377453907,3042.352962995016,1496.481925757097,-1545.8710372379187
b09b,2026-04-22,2026-04-30,192.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-460.3394043429591,600.6259827324069,0.0,0.0,756.7456232606171,0.0,0.0,0.8370845660101622,0.08274512906649058,5.069584603448837,1.0,1.0,1.0,-460.3394043429591,600.6259827324069,0.0010948287373562168,0.0,756.7456232606171,756.7456232606171
b09b,2026-04-30,2026-05-07,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-81.76649357231565,164.94400676719567,0.0,0.0,184.0985737031339,0.0,0.0,0.8976256591267884,0.05124202238171007,4.821863852630262,1.0,1.0,1.0,-81.76649357231565,164.94400676719567,0.0003043957898530653,0.0,184.0985737031339,184.0985737031339
b09b,2026-05-07,2026-05-14,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-213.75242126116572,42.22657171542321,0.0,0.0,217.88341137830716,0.0,0.0,0.9221549110952765,0.07126970463613777,6.348916449916289,1.0,1.0,1.0,-213.75242126116572,42.22657171542321,0.000360256963257783,0.0,217.88341137830716,217.88341137830716
b09b,2026-05-14,2026-05-21,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-532.4355050124609,-120.33811778352667,0.0,0.0,545.865211924662,0.0,0.0,0.8840830705594271,0.12268592630365803,9.475850839813017,1.0,1.0,1.0,-532.4355050124609,-120.33811778352667,0.0009025549138965973,0.0,545.865211924662,545.865211924662
b09b,2026-05-21,2026-05-28,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-157.90076043896048,-0.9501312922858155,0.0,0.0,157.9036190106945,0.0,0.0,0.8603167813271284,0.030057245987193337,3.572732242710405,1.0,1.0,1.0,-157.90076043896048,-0.9501312922858155,0.00026108402614202135,0.0,157.9036190106945,157.9036190106945
b09b,2026-05-28,2026-06-04,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-613.5552089723317,-91.60917083054615,0.0,0.0,620.3565383207804,0.0,0.0,0.8671452978160232,0.11932854272108064,6.564820557400911,1.0,1.0,1.0,-613.5552089723317,-91.60917083054615,0.0010257217895515548,0.0,620.3565383207804,620.3565383207804
b09b,2026-06-04,2026-06-13,216.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-850.2766777379752,-52.69348035072974,0.0,0.0,851.9078774002511,0.0,0.0,0.8966719557065517,0.14957183438742355,5.539606953559293,1.0,1.0,1.0,-850.2766777379752,-52.69348035072974,0.0010955605419241913,0.0,851.9078774002511,851.9078774002511
b09b,2026-06-13,2026-06-21,192.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-429.39761908154685,360.83327372506136,0.0,0.0,560.876962176239,0.0,0.0,0.8583712263498455,0.060105195200048374,5.8172467763603235,1.0,1.0,1.0,-429.39761908154685,360.83327372506136,0.000811453938333679,0.0,560.876962176239,560.876962176239
b09b,2026-06-21,2026-06-28,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-27.226538221101038,251.84880110307142,0.0,0.0,253.316211483907,0.0,0.0,0.8964812150225043,0.055062022160549264,10.535752463905022,1.0,1.0,1.0,-27.226538221101038,251.84880110307142,0.0004188429422683648,0.0,253.316211483907,253.316211483907
b09b,2026-06-28,2026-07-05,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-981.7526694561128,1.8877394348074619,0.0,0.0,981.7544843515496,0.0,0.0,0.0,0.06226972616586299,5.61048400449094,0.0,1.0,0.0,-981.7526694561128,1.8877394348074619,0.0016232713034913188,0.0,981.7544843515496,981.7544843515496
b09b,2026-07-05,2026-07-12,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-16.1752835870769,-653.7719605254132,0.0,0.0,653.9720301116591,0.0,0.0,0.0,0.10232845684679961,3.7372883677219733,0.0,1.0,0.0,-16.1752835870769,-653.7719605254132,0.0010813029598407062,0.0,653.9720301116591,653.9720301116591
b09b,2026-07-12,2026-07-19,168.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,1371.2277587588774,-1167.130283996155,0.0,0.0,1800.6828333195824,0.0,0.0,0.0,0.10232845684679961,10.290456926380928,0.0,1.0,0.0,1371.2277587588774,-1167.130283996155,0.0029773194995363467,0.0,1800.6828333195824,1800.6828333195824
b09b,2026-07-19,2026-07-22,72.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,-634.1316890567864,-117.21225518730512,0.0,0.0,644.8734076019159,0.0,0.0,0.0,0.10232845684679961,8.599014645578762,0.0,1.0,0.0,-634.1316890567864,-117.21225518730512,0.0024879375293283793,0.0,644.8734076019159,644.8734076019159
b09b,2026-07-22,2026-07-30,192.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,553.5283811305598,1288.8046074615722,0.0,0.0,1402.644283106446,0.0,0.0,0.0,0.10232845684679961,7.013794446391096,0.0,1.0,0.0,553.5283811305598,1288.8046074615722,0.0020292886040313165,0.0,1402.644283106446,1402.644283106446
b09b,2026-07-30,2026-08-09,240.0,-66.08333333333333,143.23333333333332,0.0,207.7506354602461,0.0,1262.8858572907975,-768.6406571983808,1130.660827553831,-1513.2201105197892,756.2288151064788,1888.97565094054,1888.97565094054,0.0,0.10232845684679961,5.914113744221747,0.0,1.0,0.0,132.22502973696646,744.5794533214083,0.0008752648322991653,1888.97565094054,1478.4076394700724,-410.5680114704676
b09b,2026-08-09,2026-08-16,168.0,-66.06666666666666,143.23333333333332,0.002186314410810814,143.2333333333294,1888.9756509405415,2626.961451177543,-1748.858091460116,0.0,0.0,3155.856633315009,0.0,1322.2829556583804,0.0,0.10232845684679961,13.419976486970187,0.0,1.0,0.0,2626.961451177543,-1748.858091460116,0.0052180169201637054,0.0,3155.856633315009,3155.856633315009
b28,2021-03-31,2021-04-12,288.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-7896.9673254524505,7115.099491177547,0.0,0.0,10629.521800561803,0.0,0.0,0.22911770967766643,0.22298653369487081,15.412854578841287,1.0,1.0,1.0,-7896.9673254524505,7115.099491177547,0.010252239390973961,0.0,10629.521800561803,10629.521800561803
b28,2021-04-12,2021-04-21,216.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-144.44191968220926,269.54607200013646,0.0,0.0,305.80803307333923,0.0,0.0,0.825983458198607,0.04384905554719134,4.719290654725111,1.0,1.0,1.0,-144.44191968220926,269.54607200013646,0.00039327164747085807,0.0,305.80803307333923,305.80803307333923
b28,2021-04-21,2021-05-04,312.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-1804.4609019978298,4408.001748979068,0.0,0.0,4763.040894831929,0.0,0.0,0.7665105129126459,0.24824289108803754,6.5462491648648085,1.0,1.0,1.0,-1804.4609019978298,4408.001748979068,0.004240599087279139,0.0,4763.040894831929,4763.040894831929
b28,2021-05-04,2021-05-11,168.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,141.5129032900604,253.3740033684174,0.0,0.0,290.2142094738312,0.0,0.0,0.8841212186962366,0.059051541422455424,9.701152162126727,1.0,1.0,1.0,141.5129032900604,253.3740033684174,0.0004798515368284246,0.0,290.2142094738312,290.2142094738312
b28,2021-05-11,2021-05-23,288.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-1892.0976103474172,1882.5005439195425,0.0,0.0,2669.052578151989,0.0,0.0,0.6473357335198671,0.12766078909337028,11.301365291993644,1.0,1.0,1.0,-1892.0976103474172,1882.5005439195425,0.002574317687260792,0.0,2669.052578151989,2669.052578151989
b28,2021-05-23,2021-05-28,120.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,2.8820047083923415,-180.8361826414881,0.0,0.0,180.85914658508383,0.0,0.0,0.8585619670338929,0.02929776906967163,2.1709399432252745,1.0,1.0,1.0,2.8820047083923415,-180.8361826414881,0.0004186554319099163,0.0,180.85914658508383,180.85914658508383
b28,2021-05-28,2021-06-08,264.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-1.568487128206657,-337.51435085614355,0.0,0.0,337.51799535093727,0.0,0.0,0.8505508583039045,0.01893131797824374,3.0117651277773563,1.0,1.0,1.0,-1.568487128206657,-337.51435085614355,0.0003551325708658852,0.0,337.51799535093727,337.51799535093727
b28,2021-06-08,2021-06-17,216.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-0.5197242759584353,-49.96991737086233,0.0,0.0,49.97262005712558,0.0,0.0,0.9500030509661883,0.007647916546813696,2.7668664928608813,1.0,1.0,1.0,-0.5197242759584353,-49.96991737086233,6.426520069074792e-05,0.0,49.97262005712558,49.97262005712558
b28,2021-06-17,2021-06-22,120.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-131.3351476039094,325.87724540761815,0.0,0.0,351.347264213908,0.0,0.0,0.8966338075697422,0.0963070548048828,4.045134002627482,1.0,1.0,1.0,-131.3351476039094,325.87724540761815,0.0008133038523470092,0.0,351.347264213908,351.347264213908
b28,2021-06-22,2021-06-28,144.0,-74.66666666666667,-108.76666666666665,0.0,207.7506354602461,0.0,-131.93484972810654,-147.88777081087244,0.0,0.0,198.18576469612339,0.0,0.0,0.9427167568355799,0.11348618684479941,14.259685013437336,1.0,1.0,1.0,-131.93484972810654,-147.88777081087244,0.0003823027868366578,0.0,198.18576469612339,198.18576469612339
